Round, Fold,label1 ,label2 ,label3 ,label4 ,label5 
01, 1,365,0,1,4,1
01, 1,4,45,0,0,0
01, 1,0,2,3,0,0
01, 1,2,0,0,1,0
01, 1,6,0,0,0,23
01, 2,363,4,1,1,2
01, 2,3,45,0,0,0
01, 2,0,0,5,0,0
01, 2,2,0,0,1,1
01, 2,2,1,0,0,26
01, 3,361,6,0,1,3
01, 3,3,43,2,0,0
01, 3,1,1,3,0,0
01, 3,3,0,0,0,1
01, 3,4,0,0,0,25
01, 4,365,2,1,3,0
01, 4,4,44,0,0,0
01, 4,0,1,4,0,0
01, 4,3,0,0,1,0
01, 4,3,0,0,0,26
01, 5,363,4,1,0,3
01, 5,1,47,0,0,0
01, 5,1,0,4,0,0
01, 5,1,1,0,2,0
01, 5,1,0,0,0,28
01, 6,367,2,0,2,0
01, 6,5,43,0,0,0
01, 6,0,0,5,0,0
01, 6,3,0,0,1,0
01, 6,3,0,0,0,26
01, 7,363,2,1,1,3
01, 7,2,47,0,0,0
01, 7,2,0,3,0,0
01, 7,2,0,0,1,0
01, 7,3,0,0,0,27
01, 8,360,7,0,3,0
01, 8,3,46,0,0,0
01, 8,0,2,3,0,0
01, 8,0,0,0,3,0
01, 8,2,0,0,0,28
01, 9,362,5,0,3,0
01, 9,2,46,1,0,0
01, 9,1,0,4,0,0
01, 9,2,0,1,0,0
01, 9,3,0,0,0,27
01, 10,363,3,0,0,4
01, 10,5,44,0,0,0
01, 10,1,0,4,0,0
01, 10,2,0,0,1,0
01, 10,1,0,0,0,29
02, 1,363,2,1,3,2
02, 1,3,45,1,0,0
02, 1,1,0,4,0,0
02, 1,0,0,0,3,0
02, 1,6,0,0,0,23
02, 2,363,2,1,3,2
02, 2,6,42,0,0,0
02, 2,0,1,4,0,0
02, 2,4,0,0,0,0
02, 2,1,0,0,0,28
02, 3,368,2,0,1,0
02, 3,3,45,0,0,0
02, 3,1,0,4,0,0
02, 3,3,0,0,1,0
02, 3,2,0,0,0,27
02, 4,369,0,0,0,2
02, 4,3,45,0,0,0
02, 4,1,1,3,0,0
02, 4,2,0,1,1,0
02, 4,4,0,0,0,25
02, 5,363,4,0,0,4
02, 5,4,44,0,0,0
02, 5,0,0,5,0,0
02, 5,4,0,0,0,0
02, 5,4,1,0,0,24
02, 6,364,3,0,4,0
02, 6,4,44,0,0,0
02, 6,1,1,3,0,0
02, 6,2,0,0,2,0
02, 6,4,0,0,0,25
02, 7,361,4,1,2,2
02, 7,3,45,1,0,0
02, 7,0,1,4,0,0
02, 7,2,0,0,1,0
02, 7,0,0,0,0,30
02, 8,357,8,0,2,3
02, 8,1,48,0,0,0
02, 8,0,1,4,0,0
02, 8,2,0,0,1,0
02, 8,4,0,0,0,26
02, 9,357,4,1,5,3
02, 9,4,43,2,0,0
02, 9,1,0,4,0,0
02, 9,2,0,0,1,0
02, 9,5,0,0,0,25
02, 10,363,4,0,1,2
02, 10,1,48,0,0,0
02, 10,1,1,3,0,0
02, 10,2,0,0,0,1
02, 10,1,1,0,0,28
03, 1,365,5,0,0,1
03, 1,3,45,1,0,0
03, 1,0,0,5,0,0
03, 1,1,0,1,1,0
03, 1,5,0,0,0,24
03, 2,361,3,0,2,5
03, 2,3,44,1,0,0
03, 2,0,1,4,0,0
03, 2,4,0,0,0,0
03, 2,2,0,0,0,27
03, 3,365,2,0,1,3
03, 3,7,41,0,0,0
03, 3,0,1,4,0,0
03, 3,2,0,0,2,0
03, 3,7,0,0,0,22
03, 4,366,4,0,1,0
03, 4,5,43,0,0,0
03, 4,0,1,4,0,0
03, 4,2,0,0,2,0
03, 4,4,0,0,0,25
03, 5,364,1,0,4,2
03, 5,1,46,1,0,0
03, 5,1,1,3,0,0
03, 5,3,0,0,1,0
03, 5,3,1,0,0,25
03, 6,361,5,2,2,1
03, 6,2,46,0,0,0
03, 6,0,0,5,0,0
03, 6,2,0,0,2,0
03, 6,2,0,0,0,27
03, 7,360,4,0,4,2
03, 7,1,48,0,0,0
03, 7,1,1,3,0,0
03, 7,2,0,0,1,0
03, 7,4,0,0,1,25
03, 8,361,3,0,1,5
03, 8,2,47,0,0,0
03, 8,0,1,4,0,0
03, 8,3,0,0,0,0
03, 8,2,0,0,0,28
03, 9,363,4,0,1,2
03, 9,2,47,0,0,0
03, 9,1,0,4,0,0
03, 9,3,0,0,0,0
03, 9,1,0,1,0,28
03, 10,365,3,0,2,0
03, 10,3,44,2,0,0
03, 10,1,0,4,0,0
03, 10,2,1,0,0,0
03, 10,2,0,0,0,28
04, 1,366,2,1,1,1
04, 1,4,45,0,0,0
04, 1,0,0,5,0,0
04, 1,3,0,0,0,0
04, 1,4,0,0,0,25
04, 2,360,6,0,4,1
04, 2,2,46,0,0,0
04, 2,1,1,3,0,0
04, 2,2,0,0,2,0
04, 2,2,0,0,0,27
04, 3,362,4,1,2,2
04, 3,3,45,0,0,0
04, 3,0,2,3,0,0
04, 3,2,0,0,2,0
04, 3,3,0,0,0,26
04, 4,363,3,0,2,3
04, 4,0,48,0,0,0
04, 4,1,1,3,0,0
04, 4,3,0,0,1,0
04, 4,2,1,0,0,26
04, 5,361,5,0,3,2
04, 5,2,45,1,0,0
04, 5,1,0,4,0,0
04, 5,3,0,0,1,0
04, 5,0,0,0,0,29
04, 6,364,3,1,2,1
04, 6,6,42,0,0,0
04, 6,1,0,4,0,0
04, 6,3,0,0,1,0
04, 6,3,0,0,0,26
04, 7,367,1,0,0,2
04, 7,2,47,0,0,0
04, 7,0,2,3,0,0
04, 7,2,0,0,1,0
04, 7,1,0,0,0,29
04, 8,361,3,0,2,4
04, 8,3,46,0,0,0
04, 8,0,1,4,0,0
04, 8,2,0,0,1,0
04, 8,5,0,0,0,25
04, 9,356,4,0,5,5
04, 9,2,47,0,0,0
04, 9,1,1,3,0,0
04, 9,2,0,1,0,0
04, 9,2,0,1,0,27
04, 10,365,3,1,0,1
04, 10,0,47,2,0,0
04, 10,0,1,4,0,0
04, 10,2,0,0,1,0
04, 10,2,0,0,0,28
05, 1,361,3,0,5,2
05, 1,4,44,1,0,0
05, 1,0,1,4,0,0
05, 1,3,0,0,0,0
05, 1,5,0,0,0,24
05, 2,364,3,1,0,3
05, 2,3,43,2,0,0
05, 2,0,1,4,0,0
05, 2,4,0,0,0,0
05, 2,4,0,0,0,25
05, 3,365,3,1,1,1
05, 3,4,43,1,0,0
05, 3,0,0,5,0,0
05, 3,3,0,0,1,0
05, 3,2,1,0,0,26
05, 4,363,7,1,0,0
05, 4,5,43,0,0,0
05, 4,1,0,4,0,0
05, 4,4,0,0,0,0
05, 4,1,1,0,0,27
05, 5,363,0,1,3,4
05, 5,1,46,1,0,0
05, 5,0,0,5,0,0
05, 5,3,0,0,1,0
05, 5,3,0,0,0,26
05, 6,364,1,0,2,4
05, 6,9,39,0,0,0
05, 6,0,1,4,0,0
05, 6,2,1,0,1,0
05, 6,1,0,0,0,28
05, 7,363,2,0,2,3
05, 7,3,46,0,0,0
05, 7,2,0,3,0,0
05, 7,1,0,1,1,0
05, 7,4,0,0,0,26
05, 8,360,5,0,2,3
05, 8,3,46,0,0,0
05, 8,0,0,5,0,0
05, 8,1,0,0,2,0
05, 8,3,0,0,0,27
05, 9,362,5,0,1,2
05, 9,3,46,0,0,0
05, 9,1,1,2,1,0
05, 9,3,0,0,0,0
05, 9,0,0,0,0,30
05, 10,365,2,0,2,1
05, 10,4,44,1,0,0
05, 10,0,1,4,0,0
05, 10,2,0,0,1,0
05, 10,3,0,0,0,27
06, 1,363,3,1,2,2
06, 1,1,48,0,0,0
06, 1,0,2,3,0,0
06, 1,3,0,0,0,0
06, 1,4,0,0,0,25
06, 2,361,6,0,3,1
06, 2,3,44,1,0,0
06, 2,0,1,4,0,0
06, 2,4,0,0,0,0
06, 2,2,0,0,0,27
06, 3,364,2,1,1,3
06, 3,5,43,0,0,0
06, 3,0,1,4,0,0
06, 3,3,0,1,0,0
06, 3,3,0,0,0,26
06, 4,364,2,1,1,3
06, 4,3,45,0,0,0
06, 4,2,0,3,0,0
06, 4,2,0,0,2,0
06, 4,2,0,0,0,27
06, 5,363,4,0,2,2
06, 5,5,43,0,0,0
06, 5,1,1,3,0,0
06, 5,4,0,0,0,0
06, 5,0,1,0,0,28
06, 6,367,2,0,1,1
06, 6,3,44,1,0,0
06, 6,1,0,4,0,0
06, 6,2,1,0,1,0
06, 6,3,1,0,0,25
06, 7,361,2,2,0,5
06, 7,5,43,1,0,0
06, 7,0,1,4,0,0
06, 7,2,0,0,1,0
06, 7,3,0,0,0,27
06, 8,366,3,0,1,0
06, 8,4,43,2,0,0
06, 8,1,0,4,0,0
06, 8,3,0,0,0,0
06, 8,2,0,0,0,28
06, 9,356,6,0,4,4
06, 9,1,47,0,1,0
06, 9,1,0,4,0,0
06, 9,2,0,0,1,0
06, 9,1,0,0,0,29
06, 10,364,2,0,1,3
06, 10,0,49,0,0,0
06, 10,0,1,4,0,0
06, 10,3,0,0,0,0
06, 10,4,0,0,0,26
07, 1,360,7,0,3,1
07, 1,3,45,1,0,0
07, 1,0,1,4,0,0
07, 1,1,0,0,2,0
07, 1,3,0,0,0,26
07, 2,366,3,0,0,2
07, 2,4,44,0,0,0
07, 2,2,2,1,0,0
07, 2,4,0,0,0,0
07, 2,2,0,0,0,27
07, 3,358,5,1,3,4
07, 3,3,45,0,0,0
07, 3,0,2,3,0,0
07, 3,2,1,0,1,0
07, 3,3,0,0,0,26
07, 4,361,5,0,1,4
07, 4,4,44,0,0,0
07, 4,0,0,5,0,0
07, 4,3,0,0,1,0
07, 4,0,0,0,0,29
07, 5,364,2,2,2,1
07, 5,1,47,0,0,0
07, 5,0,2,3,0,0
07, 5,2,0,0,2,0
07, 5,3,0,0,0,26
07, 6,362,3,0,0,6
07, 6,3,45,0,0,0
07, 6,1,1,3,0,0
07, 6,3,0,0,1,0
07, 6,2,0,0,0,27
07, 7,366,2,0,2,0
07, 7,4,44,1,0,0
07, 7,1,0,4,0,0
07, 7,2,0,0,1,0
07, 7,4,0,0,0,26
07, 8,362,1,0,4,3
07, 8,10,37,2,0,0
07, 8,0,0,5,0,0
07, 8,1,0,0,2,0
07, 8,3,0,0,0,27
07, 9,365,3,0,0,2
07, 9,2,46,1,0,0
07, 9,2,1,2,0,0
07, 9,1,0,1,1,0
07, 9,5,0,0,0,25
07, 10,358,5,1,5,1
07, 10,0,49,0,0,0
07, 10,0,0,5,0,0
07, 10,2,0,0,1,0
07, 10,1,1,0,0,28
08, 1,363,2,0,2,4
08, 1,5,43,1,0,0
08, 1,0,1,4,0,0
08, 1,2,0,0,1,0
08, 1,2,0,0,0,27
08, 2,360,3,0,2,6
08, 2,2,46,0,0,0
08, 2,1,1,3,0,0
08, 2,3,0,0,1,0
08, 2,1,0,0,0,28
08, 3,360,6,0,1,4
08, 3,2,44,2,0,0
08, 3,1,0,4,0,0
08, 3,0,1,0,3,0
08, 3,4,1,0,0,24
08, 4,364,3,0,0,4
08, 4,5,43,0,0,0
08, 4,0,0,5,0,0
08, 4,3,0,0,1,0
08, 4,2,0,1,0,26
08, 5,360,6,2,1,2
