Round, Fold,label1 ,label2 ,label3 ,label4 ,label5 
01, 1,366,0,1,3,1
01, 1,2,47,0,0,0
01, 1,0,0,5,0,0
01, 1,2,0,0,1,0
01, 1,1,0,0,0,28
01, 2,365,4,0,0,2
01, 2,3,44,1,0,0
01, 2,0,1,4,0,0
01, 2,3,0,0,1,0
01, 2,3,0,0,0,26
01, 3,361,6,0,1,3
01, 3,2,44,2,0,0
01, 3,0,1,4,0,0
01, 3,1,0,0,2,1
01, 3,0,0,0,0,29
01, 4,364,3,0,4,0
01, 4,4,44,0,0,0
01, 4,0,0,5,0,0
01, 4,3,0,0,1,0
01, 4,5,0,0,0,24
01, 5,364,3,0,0,4
01, 5,4,43,1,0,0
01, 5,0,0,5,0,0
01, 5,2,1,0,1,0
01, 5,4,0,0,0,25
01, 6,365,3,0,1,2
01, 6,1,47,0,0,0
01, 6,0,0,5,0,0
01, 6,2,0,0,2,0
01, 6,1,0,0,0,28
01, 7,364,2,0,1,3
01, 7,1,48,0,0,0
01, 7,2,0,3,0,0
01, 7,2,0,0,1,0
01, 7,2,0,0,0,28
01, 8,363,6,0,1,0
01, 8,4,45,0,0,0
01, 8,0,0,4,1,0
01, 8,1,0,0,2,0
01, 8,4,0,0,0,26
01, 9,363,4,0,2,1
01, 9,2,46,1,0,0
01, 9,1,0,4,0,0
01, 9,2,0,1,0,0
01, 9,3,0,0,0,27
01, 10,362,4,0,1,3
01, 10,7,42,0,0,0
01, 10,1,0,4,0,0
01, 10,2,0,0,1,0
01, 10,2,0,0,0,28
02, 1,361,2,0,5,3
02, 1,1,48,0,0,0
02, 1,0,0,5,0,0
02, 1,0,0,0,3,0
02, 1,5,0,0,0,24
02, 2,365,2,0,2,2
02, 2,6,42,0,0,0
02, 2,0,0,5,0,0
02, 2,2,0,0,2,0
02, 2,3,0,0,0,26
02, 3,367,1,0,1,2
02, 3,0,48,0,0,0
02, 3,0,1,3,1,0
02, 3,2,0,0,2,0
02, 3,2,0,0,1,26
02, 4,369,2,0,0,0
02, 4,1,46,0,0,1
02, 4,1,0,4,0,0
02, 4,3,0,1,0,0
02, 4,2,0,0,0,27
02, 5,362,3,0,1,5
02, 5,6,42,0,0,0
02, 5,1,0,4,0,0
02, 5,3,0,0,1,0
02, 5,3,0,0,1,25
02, 6,365,4,0,1,1
02, 6,4,43,1,0,0
02, 6,1,2,2,0,0
02, 6,0,0,0,4,0
02, 6,2,0,0,0,27
02, 7,359,7,0,3,1
02, 7,2,46,1,0,0
02, 7,0,1,4,0,0
02, 7,2,0,0,1,0
02, 7,1,0,0,0,29
02, 8,360,5,0,2,3
02, 8,4,45,0,0,0
02, 8,0,0,4,1,0
02, 8,2,0,0,1,0
02, 8,3,0,0,0,27
02, 9,361,4,1,2,2
02, 9,4,44,1,0,0
02, 9,0,1,4,0,0
02, 9,2,0,0,1,0
02, 9,3,0,0,0,27
02, 10,362,4,0,2,2
02, 10,1,48,0,0,0
02, 10,1,0,4,0,0
02, 10,2,0,0,0,1
02, 10,2,0,1,0,27
03, 1,365,4,0,1,1
03, 1,3,45,1,0,0
03, 1,0,0,5,0,0
03, 1,1,0,1,1,0
03, 1,3,0,0,0,26
03, 2,359,2,0,2,8
03, 2,4,43,1,0,0
03, 2,0,1,3,1,0
03, 2,4,0,0,0,0
03, 2,0,0,0,0,29
03, 3,367,2,0,0,2
03, 3,7,41,0,0,0
03, 3,0,1,4,0,0
03, 3,2,0,0,2,0
03, 3,3,0,0,0,26
03, 4,365,4,0,1,1
03, 4,2,46,0,0,0
03, 4,1,1,3,0,0
03, 4,1,0,0,3,0
03, 4,10,0,0,0,19
03, 5,362,4,0,3,2
03, 5,4,44,0,0,0
03, 5,1,1,3,0,0
03, 5,2,0,0,2,0
03, 5,2,0,0,0,27
03, 6,362,5,1,3,0
03, 6,5,43,0,0,0
03, 6,0,0,5,0,0
03, 6,1,0,0,3,0
03, 6,1,0,0,0,28
03, 7,364,3,0,3,0
03, 7,6,42,1,0,0
03, 7,0,0,5,0,0
03, 7,2,0,0,1,0
03, 7,1,0,0,0,29
03, 8,359,3,0,2,6
03, 8,1,47,1,0,0
03, 8,0,0,5,0,0
03, 8,2,0,0,1,0
03, 8,2,0,0,0,28
03, 9,362,2,0,4,2
03, 9,2,47,0,0,0
03, 9,1,0,4,0,0
03, 9,3,0,0,0,0
03, 9,3,0,0,0,27
03, 10,365,3,0,1,1
03, 10,2,46,1,0,0
03, 10,1,1,3,0,0
03, 10,1,1,0,0,1
03, 10,1,0,0,0,29
04, 1,363,3,0,4,1
04, 1,2,47,0,0,0
04, 1,0,0,5,0,0
04, 1,3,0,0,0,0
04, 1,3,0,0,0,26
04, 2,363,3,0,2,3
04, 2,4,44,0,0,0
04, 2,1,1,3,0,0
04, 2,2,0,0,2,0
04, 2,0,0,0,0,29
04, 3,363,3,0,3,2
04, 3,6,42,0,0,0
04, 3,0,0,5,0,0
04, 3,0,0,0,4,0
04, 3,3,0,0,1,25
04, 4,365,2,0,1,3
04, 4,2,46,0,0,0
04, 4,1,0,4,0,0
04, 4,4,0,0,0,0
04, 4,2,0,0,0,27
04, 5,362,5,0,1,3
04, 5,2,44,1,0,1
04, 5,1,0,4,0,0
04, 5,2,0,0,2,0
04, 5,0,0,0,0,29
04, 6,367,2,0,2,0
04, 6,3,44,1,0,0
04, 6,1,0,4,0,0
04, 6,2,0,0,2,0
04, 6,3,0,0,0,26
04, 7,365,1,0,1,3
04, 7,1,47,1,0,0
04, 7,0,0,5,0,0
04, 7,2,0,0,1,0
04, 7,3,0,0,0,27
04, 8,360,7,0,0,3
04, 8,3,46,0,0,0
04, 8,0,0,4,1,0
04, 8,2,0,0,1,0
04, 8,4,0,0,0,26
04, 9,356,3,0,5,6
04, 9,2,47,0,0,0
04, 9,1,0,4,0,0
04, 9,2,0,1,0,0
04, 9,2,1,0,0,27
04, 10,363,4,1,0,2
04, 10,0,47,2,0,0
04, 10,1,1,3,0,0
04, 10,3,0,0,0,0
04, 10,1,0,0,0,29
05, 1,365,4,0,2,0
05, 1,5,43,1,0,0
05, 1,0,1,4,0,0
05, 1,2,0,0,1,0
05, 1,1,0,0,0,28
05, 2,364,2,1,0,4
05, 2,0,47,1,0,0
05, 2,0,0,5,0,0
05, 2,3,0,0,1,0
05, 2,3,0,0,0,26
05, 3,364,4,0,2,1
05, 3,0,47,1,0,0
05, 3,0,0,5,0,0
05, 3,2,0,0,2,0
05, 3,4,0,0,0,25
05, 4,361,5,0,2,3
05, 4,3,45,0,0,0
05, 4,1,0,4,0,0
05, 4,3,0,0,1,0
05, 4,1,0,0,0,28
05, 5,364,0,1,3,3
05, 5,2,45,1,0,0
05, 5,1,0,4,0,0
05, 5,1,0,0,3,0
05, 5,5,0,0,0,24
05, 6,364,3,0,3,1
05, 6,5,43,0,0,0
05, 6,0,0,5,0,0
05, 6,3,0,0,1,0
05, 6,0,0,0,0,29
05, 7,363,3,0,2,2
05, 7,3,46,0,0,0
05, 7,1,0,4,0,0
05, 7,2,0,1,0,0
05, 7,2,0,0,0,28
05, 8,362,4,0,0,4
05, 8,2,47,0,0,0
05, 8,0,0,5,0,0
05, 8,1,0,0,2,0
05, 8,2,0,0,0,28
05, 9,362,5,0,0,3
05, 9,4,45,0,0,0
05, 9,0,1,3,1,0
05, 9,3,0,0,0,0
05, 9,2,0,0,0,28
05, 10,361,2,0,3,4
05, 10,5,44,0,0,0
05, 10,0,1,3,1,0
05, 10,1,0,0,2,0
05, 10,1,0,0,1,28
06, 1,362,3,0,3,3
06, 1,1,48,0,0,0
06, 1,0,1,4,0,0
06, 1,2,0,0,1,0
06, 1,3,0,0,0,26
06, 2,365,3,0,1,2
06, 2,2,46,0,0,0
06, 2,0,0,5,0,0
06, 2,3,0,0,1,0
06, 2,0,0,0,1,28
06, 3,364,3,1,1,2
06, 3,2,45,1,0,0
06, 3,1,0,4,0,0
06, 3,3,0,1,0,0
06, 3,1,0,0,0,28
06, 4,366,1,0,1,3
06, 4,3,45,0,0,0
06, 4,1,0,4,0,0
06, 4,2,0,0,2,0
06, 4,4,0,0,0,25
06, 5,364,4,0,2,1
06, 5,5,43,0,0,0
06, 5,0,1,4,0,0
06, 5,1,0,0,3,0
06, 5,1,0,0,0,28
06, 6,365,0,0,3,3
06, 6,4,44,0,0,0
06, 6,1,0,4,0,0
06, 6,3,0,0,1,0
06, 6,4,0,0,0,25
06, 7,361,2,2,1,4
06, 7,2,47,0,0,0
06, 7,0,0,4,1,0
06, 7,2,0,0,1,0
06, 7,2,0,0,0,28
06, 8,366,3,0,1,0
06, 8,4,44,1,0,0
06, 8,1,0,4,0,0
06, 8,2,0,0,1,0
06, 8,1,0,0,0,29
06, 9,360,7,0,1,2
06, 9,0,49,0,0,0
06, 9,1,0,4,0,0
06, 9,1,0,0,2,0
06, 9,4,0,0,0,26
06, 10,363,3,0,0,4
06, 10,3,46,0,0,0
06, 10,0,0,5,0,0
06, 10,2,0,0,1,0
06, 10,5,0,0,0,25
07, 1,364,6,0,0,1
07, 1,0,48,1,0,0
07, 1,0,1,4,0,0
07, 1,1,0,0,2,0
07, 1,3,0,0,0,26
07, 2,364,3,0,2,2
07, 2,4,44,0,0,0
07, 2,0,1,4,0,0
07, 2,4,0,0,0,0
07, 2,2,0,0,0,27
07, 3,354,5,0,4,8
