Round, Fold,label1 ,label2 ,label3 ,label4 ,label5 
01, 1,363,2,2,2,2
01, 1,4,45,0,0,0
01, 1,1,1,3,0,0
01, 1,2,0,0,1,0
01, 1,2,0,0,0,27
01, 2,364,3,0,1,3
01, 2,4,43,1,0,0
01, 2,0,2,3,0,0
01, 2,2,0,0,1,1
01, 2,3,0,0,0,26
01, 3,361,5,0,1,4
01, 3,2,45,1,0,0
01, 3,0,0,5,0,0
01, 3,2,0,0,2,0
01, 3,3,0,0,0,26
01, 4,364,2,0,3,2
01, 4,4,44,0,0,0
01, 4,0,0,5,0,0
01, 4,1,0,0,3,0
01, 4,2,0,0,0,27
01, 5,363,3,1,1,3
01, 5,5,43,0,0,0
01, 5,0,0,5,0,0
01, 5,1,1,0,2,0
01, 5,4,0,0,1,24
01, 6,365,3,0,1,2
01, 6,2,46,0,0,0
01, 6,0,0,5,0,0
01, 6,2,0,0,2,0
01, 6,2,0,0,0,27
01, 7,360,2,0,3,5
01, 7,1,48,0,0,0
01, 7,2,0,3,0,0
01, 7,2,0,0,1,0
01, 7,3,0,0,0,27
01, 8,361,4,0,5,0
01, 8,1,48,0,0,0
01, 8,0,0,4,1,0
01, 8,0,0,0,3,0
01, 8,4,0,0,0,26
01, 9,361,4,0,5,0
01, 9,4,44,1,0,0
01, 9,1,0,4,0,0
01, 9,1,0,1,1,0
01, 9,3,0,0,0,27
01, 10,361,5,0,0,4
01, 10,4,45,0,0,0
01, 10,1,0,4,0,0
01, 10,2,0,0,1,0
01, 10,2,0,0,0,28
02, 1,363,2,0,2,4
02, 1,6,43,0,0,0
02, 1,0,0,5,0,0
02, 1,1,0,0,2,0
02, 1,5,0,0,0,24
02, 2,365,2,1,1,2
02, 2,3,45,0,0,0
02, 2,0,0,5,0,0
02, 2,2,0,0,2,0
02, 2,2,0,0,0,27
02, 3,366,1,0,3,1
02, 3,1,47,0,0,0
02, 3,0,0,4,1,0
02, 3,4,0,0,0,0
02, 3,4,0,0,0,25
02, 4,369,1,0,0,1
02, 4,3,45,0,0,0
02, 4,1,0,4,0,0
02, 4,3,0,1,0,0
02, 4,0,0,0,0,29
02, 5,362,2,0,2,5
02, 5,3,45,0,0,0
02, 5,1,0,4,0,0
02, 5,3,0,0,1,0
02, 5,2,0,0,0,27
02, 6,365,4,0,1,1
02, 6,4,43,1,0,0
02, 6,1,0,4,0,0
02, 6,2,0,0,2,0
02, 6,2,0,0,0,27
