Round, Fold,label1 ,label2 ,label3 ,label4 ,label5 
01, 1,366,0,1,2,2
01, 1,2,47,0,0,0
01, 1,0,0,5,0,0
01, 1,2,0,0,1,0
01, 1,2,0,1,0,26
01, 2,363,3,0,1,4
01, 2,4,43,1,0,0
01, 2,0,2,3,0,0
01, 2,2,0,0,1,1
01, 2,2,0,0,0,27
01, 3,361,5,0,1,4
01, 3,2,45,1,0,0
01, 3,0,0,5,0,0
01, 3,2,0,0,1,1
01, 3,1,0,0,0,28
01, 4,364,2,0,3,2
01, 4,4,44,0,0,0
01, 4,0,0,5,0,0
01, 4,4,0,0,0,0
01, 4,2,0,0,0,27
01, 5,363,3,0,2,3
01, 5,4,44,0,0,0
01, 5,1,1,3,0,0
01, 5,1,1,0,2,0
01, 5,2,0,0,1,26
01, 6,366,2,0,1,2
01, 6,3,45,0,0,0
01, 6,0,0,5,0,0
01, 6,3,0,0,1,0
01, 6,2,0,0,0,27
01, 7,365,2,0,0,3
01, 7,1,48,0,0,0
01, 7,2,0,3,0,0
01, 7,2,0,0,1,0
01, 7,0,0,0,0,30
01, 8,366,4,0,0,0
01, 8,1,48,0,0,0
01, 8,0,1,4,0,0
01, 8,2,0,0,1,0
01, 8,3,0,0,0,27
01, 9,361,4,0,3,2
01, 9,4,44,1,0,0
01, 9,1,0,4,0,0
01, 9,1,0,1,1,0
01, 9,0,0,0,0,30
01, 10,363,4,0,1,2
01, 10,7,42,0,0,0
01, 10,1,0,4,0,0
01, 10,3,0,0,0,0
01, 10,3,0,0,0,27
02, 1,363,2,0,4,2
02, 1,6,43,0,0,0
02, 1,1,0,4,0,0
02, 1,2,0,0,1,0
02, 1,4,0,0,0,25
02, 2,364,2,0,3,2
02, 2,3,45,0,0,0
02, 2,0,1,4,0,0
02, 2,3,0,0,1,0
02, 2,3,0,0,0,26
02, 3,363,5,0,2,1
02, 3,2,46,0,0,0
02, 3,0,1,3,1,0
02, 3,4,0,0,0,0
02, 3,3,0,0,0,26
02, 4,368,2,0,0,1
02, 4,5,43,0,0,0
02, 4,1,0,4,0,0
02, 4,2,0,1,1,0
02, 4,0,0,0,0,29
02, 5,362,3,0,2,4
02, 5,6,42,0,0,0
