Round, Fold,label1 ,label2 ,label3 ,label4 ,label5 
01, 1,368,0,1,2,0
01, 1,4,44,0,0,1
01, 1,1,0,4,0,0
01, 1,2,0,0,1,0
01, 1,3,1,0,0,25
01, 2,361,4,0,3,3
01, 2,2,45,1,0,0
01, 2,0,2,3,0,0
01, 2,2,0,0,2,0
01, 2,2,0,0,0,27
01, 3,361,3,1,1,5
01, 3,4,42,2,0,0
01, 3,1,0,4,0,0
01, 3,3,0,0,1,0
01, 3,2,0,0,0,27
01, 4,362,4,1,3,1
01, 4,7,41,0,0,0
01, 4,1,0,4,0,0
01, 4,1,0,0,3,0
01, 4,4,0,0,0,25
01, 5,360,7,0,2,2
01, 5,3,45,0,0,0
01, 5,0,1,4,0,0
01, 5,3,0,0,1,0
01, 5,7,0,0,0,22
01, 6,361,4,0,1,5
01, 6,4,43,1,0,0
01, 6,1,0,4,0,0
01, 6,2,0,0,2,0
01, 6,1,0,0,0,28
01, 7,360,5,0,2,3
01, 7,4,45,0,0,0
01, 7,3,0,1,1,0
01, 7,1,0,0,2,0
01, 7,5,0,0,0,25
01, 8,362,7,0,1,0
01, 8,4,45,0,0,0
01, 8,1,0,4,0,0
01, 8,2,0,0,1,0
01, 8,3,1,0,0,26
01, 9,362,5,1,2,0
01, 9,4,44,1,0,0
01, 9,2,0,3,0,0
01, 9,2,0,1,0,0
01, 9,1,0,0,0,29
01, 10,361,5,0,1,3
01, 10,9,39,0,0,1
01, 10,1,0,4,0,0
01, 10,2,0,0,1,0
01, 10,3,0,0,0,27
02, 1,362,2,0,3,4
02, 1,5,43,1,0,0
02, 1,1,0,4,0,0
02, 1,0,0,0,3,0
02, 1,6,0,0,0,23
02, 2,360,2,1,2,6
02, 2,3,44,0,0,1
02, 2,0,0,5,0,0
02, 2,2,0,0,2,0
02, 2,2,0,0,0,27
02, 3,365,3,1,1,1
02, 3,3,45,0,0,0
02, 3,2,0,2,1,0
02, 3,2,0,0,2,0
02, 3,4,0,0,0,25
02, 4,364,4,1,1,1
02, 4,4,43,0,0,1
02, 4,2,0,3,0,0
02, 4,3,0,1,0,0
02, 4,4,0,0,0,25
02, 5,359,5,0,2,5
02, 5,7,41,0,0,0
02, 5,1,0,3,1,0
02, 5,3,0,0,1,0
02, 5,3,0,0,0,26
02, 6,364,5,0,2,0
02, 6,1,46,1,0,0
02, 6,2,0,3,0,0
02, 6,0,0,0,4,0
02, 6,3,1,0,0,25
02, 7,362,3,0,4,1
02, 7,3,45,1,0,0
02, 7,1,2,2,0,0
02, 7,3,0,0,0,0
02, 7,1,0,0,0,29
02, 8,355,8,0,4,3
02, 8,7,42,0,0,0
02, 8,0,0,5,0,0
02, 8,2,0,0,1,0
02, 8,3,0,0,0,27
02, 9,360,5,1,2,2
02, 9,7,40,2,0,0
02, 9,1,1,3,0,0
02, 9,2,0,0,1,0
02, 9,1,0,0,0,29
02, 10,360,7,0,2,1
02, 10,4,45,0,0,0
02, 10,1,0,4,0,0
02, 10,3,0,0,0,0
02, 10,4,1,0,0,25
03, 1,362,4,0,3,2
03, 1,5,42,1,0,1
03, 1,0,0,5,0,0
03, 1,1,0,1,1,0
03, 1,4,0,0,0,25
03, 2,357,3,1,2,8
03, 2,3,44,1,0,0
03, 2,1,0,3,1,0
03, 2,4,0,0,0,0
03, 2,1,0,0,0,28
03, 3,366,1,0,2,2
03, 3,4,43,0,0,1
03, 3,1,2,2,0,0
03, 3,2,0,0,2,0
03, 3,3,1,0,0,25
03, 4,362,5,0,3,1
03, 4,6,42,0,0,0
03, 4,1,0,4,0,0
03, 4,2,0,0,2,0
03, 4,10,0,0,0,19
03, 5,361,5,1,2,2
