Round, Fold,label1 ,label2 ,label3 ,label4 ,label5 
01, 1,365,0,1,1,4
01, 1,2,47,0,0,0
01, 1,0,1,4,0,0
01, 1,2,0,0,1,0
01, 1,0,0,1,0,28
01, 2,367,3,0,0,1
01, 2,1,46,1,0,0
01, 2,0,2,3,0,0
01, 2,3,0,0,1,0
01, 2,3,0,0,0,26
01, 3,362,6,0,0,3
01, 3,1,46,1,0,0
01, 3,0,1,4,0,0
01, 3,4,0,0,0,0
01, 3,2,0,0,0,27
01, 4,367,1,0,1,2
01, 4,1,47,0,0,0
01, 4,0,0,5,0,0
01, 4,4,0,0,0,0
01, 4,3,0,0,0,26
01, 5,365,3,0,1,2
01, 5,0,47,1,0,0
01, 5,0,1,4,0,0
01, 5,2,1,0,1,0
01, 5,1,0,0,0,28
01, 6,369,1,0,0,1
01, 6,1,46,1,0,0
01, 6,0,0,5,0,0
01, 6,4,0,0,0,0
01, 6,1,0,0,0,28
01, 7,364,2,0,1,3
01, 7,0,49,0,0,0
01, 7,2,0,3,0,0
01, 7,3,0,0,0,0
01, 7,2,0,0,0,28
01, 8,365,4,1,0,0
01, 8,1,48,0,0,0
01, 8,0,0,5,0,0
01, 8,3,0,0,0,0
01, 8,3,0,0,0,27
01, 9,363,4,0,3,0
01, 9,1,48,0,0,0
01, 9,1,1,3,0,0
01, 9,2,0,1,0,0
01, 9,2,0,0,0,28
01, 10,364,3,1,0,2
01, 10,1,47,1,0,0
01, 10,1,0,4,0,0
01, 10,2,0,0,1,0
01, 10,1,0,0,0,29
02, 1,365,1,0,2,3
02, 1,1,48,0,0,0
02, 1,0,0,5,0,0
02, 1,3,0,0,0,0
02, 1,2,0,0,0,27
02, 2,367,2,1,0,1
02, 2,1,47,0,0,0
02, 2,0,1,4,0,0
02, 2,4,0,0,0,0
02, 2,0,0,0,0,29
02, 3,369,2,0,0,0
02, 3,0,48,0,0,0
02, 3,1,1,3,0,0
02, 3,4,0,0,0,0
02, 3,3,0,0,0,26
02, 4,370,1,0,0,0
02, 4,3,44,1,0,0
02, 4,1,1,3,0,0
02, 4,2,0,1,1,0
02, 4,2,0,0,0,27
02, 5,361,3,1,2,4
