Round, Fold,label1 ,label2 ,label3 ,label4 ,label5 
01, 1,362,2,1,4,2
01, 1,5,42,1,0,1
01, 1,1,2,2,0,0
01, 1,2,0,0,1,0
01, 1,3,0,0,0,26
01, 2,362,5,1,1,2
01, 2,3,44,1,0,0
01, 2,0,3,2,0,0
01, 2,3,0,0,1,0
01, 2,2,0,0,0,27
01, 3,363,6,0,1,1
01, 3,5,41,2,0,0
01, 3,1,0,4,0,0
01, 3,4,0,0,0,0
01, 3,3,0,0,0,26
01, 4,362,4,2,2,1
01, 4,6,42,0,0,0
01, 4,1,1,3,0,0
01, 4,2,0,0,2,0
01, 4,6,0,0,0,23
01, 5,364,4,0,0,3
01, 5,4,44,0,0,0
01, 5,0,1,4,0,0
01, 5,2,0,0,2,0
01, 5,3,0,0,0,26
01, 6,359,5,1,1,5
01, 6,5,43,0,0,0
01, 6,1,0,4,0,0
01, 6,2,0,0,2,0
01, 6,5,0,0,0,24
01, 7,361,4,0,1,4
01, 7,4,45,0,0,0
01, 7,2,0,3,0,0
01, 7,2,0,0,1,0
01, 7,4,0,0,0,26
01, 8,360,6,0,3,1
01, 8,2,45,2,0,0
01, 8,1,1,3,0,0
01, 8,0,0,0,3,0
01, 8,5,0,0,0,25
01, 9,360,4,0,4,2
01, 9,6,43,0,0,0
01, 9,3,1,1,0,0
01, 9,3,0,0,0,0
01, 9,3,0,0,0,27
01, 10,360,4,0,1,5
01, 10,8,41,0,0,0
01, 10,1,0,4,0,0
01, 10,2,0,0,1,0
01, 10,2,0,0,0,28
02, 1,363,3,0,3,2
02, 1,3,45,1,0,0
02, 1,2,0,3,0,0
02, 1,0,0,0,3,0
02, 1,5,0,0,0,24
02, 2,358,3,2,4,4
02, 2,7,40,0,0,1
02, 2,0,1,4,0,0
02, 2,3,0,0,1,0
02, 2,2,0,0,0,27
02, 3,366,3,0,0,2
02, 3,3,45,0,0,0
02, 3,2,1,1,1,0
02, 3,3,0,0,1,0
02, 3,3,0,0,0,26
02, 4,366,3,0,0,2
02, 4,5,42,1,0,0
02, 4,1,1,3,0,0
02, 4,2,0,1,1,0
02, 4,3,0,0,0,26
02, 5,362,3,0,0,6
02, 5,3,45,0,0,0
02, 5,1,0,4,0,0
02, 5,4,0,0,0,0
02, 5,6,0,0,0,23
02, 6,356,7,2,5,1
02, 6,3,44,1,0,0
02, 6,2,1,2,0,0
02, 6,1,0,0,3,0
02, 6,3,0,0,0,26
02, 7,359,7,0,2,2
02, 7,2,47,0,0,0
02, 7,0,2,3,0,0
02, 7,2,0,0,1,0
02, 7,1,0,0,0,29
02, 8,357,8,0,2,3
02, 8,9,40,0,0,0
02, 8,0,0,5,0,0
02, 8,2,0,0,1,0
02, 8,5,0,0,0,25
02, 9,357,5,1,5,2
02, 9,4,43,2,0,0
02, 9,1,1,3,0,0
02, 9,2,0,0,1,0
02, 9,6,0,0,0,24
02, 10,364,4,0,1,1
02, 10,5,43,1,0,0
02, 10,1,1,3,0,0
02, 10,3,0,0,0,0
02, 10,4,1,0,0,25
03, 1,362,5,0,0,4
03, 1,5,43,1,0,0
03, 1,0,0,5,0,0
03, 1,1,0,1,1,0
03, 1,5,0,0,0,24
03, 2,360,3,0,2,6
03, 2,4,43,1,0,0
03, 2,1,1,2,1,0
03, 2,4,0,0,0,0
03, 2,3,0,0,0,26
03, 3,361,4,0,3,3
03, 3,6,41,0,0,1
03, 3,1,2,2,0,0
03, 3,2,0,0,2,0
03, 3,5,0,0,0,24
03, 4,361,7,0,1,2
03, 4,4,43,1,0,0
03, 4,1,2,2,0,0
03, 4,2,0,0,2,0
03, 4,6,0,0,0,23
03, 5,363,2,0,4,2
03, 5,4,43,1,0,0
03, 5,1,1,3,0,0
03, 5,3,0,0,1,0
03, 5,3,0,0,0,26
03, 6,355,10,3,2,1
03, 6,7,41,0,0,0
03, 6,0,0,5,0,0
03, 6,2,0,0,2,0
03, 6,3,0,0,0,26
03, 7,356,7,0,6,1
03, 7,1,48,0,0,0
03, 7,2,0,3,0,0
03, 7,1,0,0,2,0
03, 7,6,0,1,0,23
03, 8,358,5,1,1,5
03, 8,5,44,0,0,0
03, 8,2,1,2,0,0
03, 8,2,0,0,1,0
03, 8,4,0,0,0,26
03, 9,363,4,0,1,2
03, 9,1,48,0,0,0
03, 9,2,0,3,0,0
03, 9,3,0,0,0,0
03, 9,1,1,0,0,28
03, 10,363,2,0,3,2
03, 10,4,43,2,0,0
03, 10,1,1,3,0,0
03, 10,3,0,0,0,0
03, 10,1,0,0,0,29
04, 1,363,5,1,0,2
04, 1,2,47,0,0,0
04, 1,1,0,4,0,0
04, 1,3,0,0,0,0
04, 1,4,0,0,0,25
04, 2,357,6,0,6,2
04, 2,7,41,0,0,0
04, 2,2,1,2,0,0
04, 2,1,0,0,3,0
