Round, Fold,label1 ,label2 ,label3 ,label4 ,label5 
01, 1,366,0,1,0,4
01, 1,2,47,0,0,0
01, 1,0,2,2,1,0
01, 1,2,0,0,1,0
01, 1,0,0,1,0,28
01, 2,367,3,0,0,1
01, 2,1,47,0,0,0
01, 2,0,2,3,0,0
01, 2,2,0,0,2,0
01, 2,2,0,0,0,27
01, 3,362,6,0,0,3
01, 3,1,45,2,0,0
01, 3,0,1,4,0,0
01, 3,4,0,0,0,0
01, 3,1,0,0,0,28
01, 4,365,2,0,1,3
01, 4,1,47,0,0,0
01, 4,0,1,4,0,0
01, 4,4,0,0,0,0
01, 4,2,0,0,0,27
01, 5,363,4,0,2,2
01, 5,0,47,1,0,0
01, 5,0,1,4,0,0
01, 5,1,1,0,2,0
01, 5,1,0,0,0,28
01, 6,367,2,1,0,1
01, 6,2,45,1,0,0
01, 6,1,0,4,0,0
01, 6,4,0,0,0,0
01, 6,1,0,0,0,28
01, 7,366,1,0,0,3
01, 7,0,48,0,0,1
01, 7,1,0,3,1,0
01, 7,2,0,0,1,0
01, 7,1,0,0,0,29
01, 8,363,6,0,0,1
01, 8,2,47,0,0,0
01, 8,0,1,4,0,0
01, 8,3,0,0,0,0
01, 8,3,0,0,0,27
01, 9,364,5,0,1,0
01, 9,2,47,0,0,0
01, 9,1,0,4,0,0
01, 9,2,0,1,0,0
01, 9,1,0,0,0,29
01, 10,362,4,1,1,2
01, 10,0,49,0,0,0
01, 10,1,0,4,0,0
01, 10,2,0,0,1,0
01, 10,1,0,0,0,29
02, 1,363,2,1,2,3
02, 1,1,47,1,0,0
02, 1,0,0,5,0,0
02, 1,2,0,0,1,0
02, 1,3,0,0,0,26
02, 2,365,2,0,1,3
02, 2,1,46,0,0,1
02, 2,0,1,4,0,0
02, 2,4,0,0,0,0
02, 2,0,0,0,0,29
02, 3,368,2,0,1,0
02, 3,0,48,0,0,0
02, 3,1,0,4,0,0
02, 3,4,0,0,0,0
02, 3,3,0,0,0,26
02, 4,369,1,0,0,1
02, 4,1,47,0,0,0
02, 4,1,2,2,0,0
02, 4,3,0,1,0,0
02, 4,2,0,0,0,27
02, 5,363,3,1,1,3
02, 5,1,47,0,0,0
02, 5,0,0,4,1,0
02, 5,3,0,0,1,0
02, 5,3,0,0,0,26
02, 6,367,3,0,0,1
02, 6,2,45,1,0,0
02, 6,1,2,2,0,0
02, 6,3,0,0,1,0
02, 6,1,0,0,0,28
02, 7,362,7,0,0,1
02, 7,3,46,0,0,0
02, 7,0,0,5,0,0
02, 7,2,0,0,1,0
02, 7,1,0,0,0,29
02, 8,357,5,1,0,7
02, 8,0,49,0,0,0
02, 8,0,1,4,0,0
02, 8,2,0,0,1,0
02, 8,2,0,0,0,28
02, 9,360,6,2,0,2
02, 9,3,45,1,0,0
02, 9,0,1,4,0,0
02, 9,2,0,0,1,0
02, 9,3,0,0,0,27
02, 10,363,5,0,0,2
02, 10,2,47,0,0,0
02, 10,0,1,4,0,0
02, 10,1,1,0,1,0
02, 10,0,0,1,0,29
03, 1,363,4,0,1,3
03, 1,2,47,0,0,0
03, 1,0,1,4,0,0
03, 1,2,0,1,0,0
03, 1,2,0,0,0,27
03, 2,366,1,0,0,4
03, 2,1,47,0,0,0
03, 2,0,1,4,0,0
03, 2,4,0,0,0,0
