Round, Fold,label1 ,label2 ,label3 ,label4 ,label5 
01, 1,363,1,1,5,1
01, 1,2,47,0,0,0
01, 1,2,0,3,0,0
01, 1,3,0,0,0,0
01, 1,2,0,1,0,26
01, 2,362,3,0,3,3
01, 2,4,44,0,0,0
01, 2,0,3,2,0,0
01, 2,3,0,0,1,0
01, 2,6,0,0,0,23
01, 3,360,5,0,2,4
01, 3,2,46,0,0,0
01, 3,0,1,4,0,0
01, 3,3,0,0,1,0
01, 3,3,0,0,0,26
01, 4,367,3,0,0,1
01, 4,1,47,0,0,0
01, 4,0,1,4,0,0
01, 4,4,0,0,0,0
01, 4,1,0,0,0,28
01, 5,363,3,1,1,3
01, 5,5,43,0,0,0
01, 5,0,1,4,0,0
01, 5,1,1,0,2,0
01, 5,4,0,0,0,25
01, 6,363,2,2,2,2
01, 6,5,43,0,0,0
01, 6,0,0,5,0,0
01, 6,3,0,0,1,0
01, 6,2,0,0,0,27
01, 7,361,3,0,1,5
01, 7,0,49,0,0,0
01, 7,2,0,3,0,0
01, 7,2,0,0,1,0
01, 7,4,0,0,0,26
01, 8,361,6,1,1,1
01, 8,4,45,0,0,0
01, 8,1,1,3,0,0
01, 8,2,0,0,1,0
01, 8,4,0,0,0,26
01, 9,359,4,0,3,4
01, 9,3,46,0,0,0
01, 9,0,1,4,0,0
01, 9,2,0,1,0,0
01, 9,0,0,0,0,30
01, 10,365,3,0,1,1
01, 10,3,46,0,0,0
01, 10,1,0,4,0,0
01, 10,1,0,0,2,0
01, 10,1,0,0,0,29
02, 1,359,2,0,4,6
02, 1,0,49,0,0,0
02, 1,1,0,4,0,0
02, 1,3,0,0,0,0
02, 1,6,0,0,0,23
02, 2,362,2,0,4,3
02, 2,3,45,0,0,0
02, 2,0,1,4,0,0
02, 2,4,0,0,0,0
02, 2,1,0,0,0,28
02, 3,366,2,0,1,2
02, 3,3,45,0,0,0
02, 3,1,0,3,1,0
02, 3,3,0,0,1,0
02, 3,4,0,0,0,25
02, 4,366,0,1,2,2
02, 4,3,45,0,0,0
02, 4,0,1,4,0,0
02, 4,3,0,1,0,0
02, 4,2,0,0,0,27
02, 5,358,3,1,3,6
02, 5,6,42,0,0,0
02, 5,1,0,4,0,0
02, 5,4,0,0,0,0
02, 5,2,0,0,0,27
02, 6,364,4,0,2,1
02, 6,5,42,1,0,0
02, 6,1,0,4,0,0
02, 6,4,0,0,0,0
02, 6,2,0,0,0,27
02, 7,358,5,3,2,2
02, 7,3,46,0,0,0
02, 7,0,1,4,0,0
02, 7,2,0,0,1,0
02, 7,0,0,0,0,30
02, 8,361,5,1,0,3
02, 8,4,45,0,0,0
02, 8,1,0,4,0,0
02, 8,2,0,0,1,0
02, 8,4,0,0,0,26
02, 9,362,4,0,2,2
02, 9,3,46,0,0,0
02, 9,0,1,4,0,0
02, 9,1,0,0,2,0
