Round, Fold,label1 ,label2 ,label3 ,label4 ,label5 
01, 1,365,1,1,3,1
01, 1,2,47,0,0,0
01, 1,2,0,3,0,0
01, 1,3,0,0,0,0
01, 1,2,0,0,0,27
01, 2,364,3,0,3,1
01, 2,4,43,1,0,0
01, 2,0,2,3,0,0
01, 2,3,0,0,1,0
01, 2,3,0,0,0,26
01, 3,361,5,0,1,4
01, 3,4,43,1,0,0
01, 3,0,0,5,0,0
01, 3,4,0,0,0,0
01, 3,1,0,0,0,28
01, 4,361,3,3,2,2
01, 4,1,47,0,0,0
01, 4,0,0,5,0,0
01, 4,1,0,0,3,0
01, 4,2,0,0,0,27
01, 5,365,3,0,1,2
01, 5,5,43,0,0,0
01, 5,0,1,4,0,0
01, 5,2,1,0,1,0
01, 5,3,0,0,0,26
01, 6,366,2,0,1,2
01, 6,5,43,0,0,0
01, 6,1,0,4,0,0
01, 6,3,0,0,1,0
01, 6,2,0,0,0,27
01, 7,364,3,0,1,2
01, 7,2,47,0,0,0
01, 7,2,0,3,0,0
01, 7,1,0,0,2,0
01, 7,0,0,0,0,30
01, 8,361,6,0,3,0
01, 8,4,45,0,0,0
01, 8,1,2,2,0,0
01, 8,2,0,0,1,0
01, 8,4,0,0,0,26
01, 9,364,4,0,1,1
01, 9,4,44,1,0,0
01, 9,1,1,3,0,0
01, 9,2,0,1,0,0
01, 9,1,0,0,0,29
01, 10,363,4,0,0,3
01, 10,7,42,0,0,0
01, 10,1,0,4,0,0
01, 10,2,0,0,1,0
01, 10,1,0,0,0,29
02, 1,360,2,0,4,5
02, 1,6,43,0,0,0
02, 1,1,0,4,0,0
02, 1,0,0,0,3,0
02, 1,6,0,0,0,23
02, 2,362,2,0,2,5
02, 2,3,45,0,0,0
02, 2,0,1,4,0,0
02, 2,1,0,0,3,0
02, 2,1,0,0,0,28
02, 3,368,2,0,0,1
02, 3,3,45,0,0,0
02, 3,1,1,2,1,0
02, 3,3,0,0,1,0
02, 3,4,0,0,0,25
02, 4,368,1,0,1,1
02, 4,3,45,0,0,0
02, 4,1,0,4,0,0
02, 4,3,0,1,0,0
02, 4,1,0,0,0,28
02, 5,362,3,0,3,3
02, 5,6,42,0,0,0
02, 5,2,0,3,0,0
02, 5,3,0,0,1,0
02, 5,2,0,0,0,27
02, 6,364,4,0,3,0
02, 6,4,43,1,0,0
02, 6,1,0,4,0,0
02, 6,2,0,0,2,0
02, 6,1,0,0,0,28
02, 7,356,7,1,3,3
02, 7,2,47,0,0,0
02, 7,1,1,3,0,0
02, 7,2,0,0,1,0
02, 7,2,0,0,0,28
02, 8,360,5,0,2,3
02, 8,2,47,0,0,0
02, 8,0,0,5,0,0
02, 8,2,0,0,1,0
02, 8,1,0,0,0,29
02, 9,358,6,1,4,1
02, 9,5,43,1,0,0
02, 9,0,1,4,0,0
02, 9,2,0,0,1,0
02, 9,2,0,0,0,28
02, 10,363,6,0,1,0
02, 10,1,48,0,0,0
