Round, Fold,label1 ,label2 ,label3 ,label4 ,label5 
01, 1,365,1,1,3,1
01, 1,4,45,0,0,0
01, 1,0,1,4,0,0
01, 1,2,0,0,1,0
01, 1,2,1,0,0,26
01, 2,362,4,0,1,4
01, 2,3,44,1,0,0
01, 2,0,2,3,0,0
01, 2,2,0,0,2,0
01, 2,3,0,0,0,26
01, 3,361,5,1,0,4
01, 3,4,43,1,0,0
01, 3,1,1,3,0,0
01, 3,2,0,0,1,1
01, 3,3,0,0,0,26
01, 4,363,1,0,4,3
01, 4,2,46,0,0,0
01, 4,0,0,5,0,0
01, 4,2,0,0,2,0
01, 4,2,0,0,0,27
01, 5,363,3,1,0,4
01, 5,5,42,1,0,0
01, 5,1,0,4,0,0
01, 5,2,1,0,1,0
01, 5,4,0,0,1,24
01, 6,367,2,0,1,1
01, 6,5,43,0,0,0
01, 6,0,0,5,0,0
01, 6,3,0,0,1,0
01, 6,2,0,0,0,27
01, 7,363,2,0,1,4
01, 7,2,47,0,0,0
01, 7,1,0,4,0,0
01, 7,1,0,0,2,0
01, 7,1,0,0,0,29
01, 8,363,5,0,2,0
01, 8,4,45,0,0,0
01, 8,0,1,4,0,0
01, 8,1,0,0,2,0
01, 8,3,0,0,0,27
01, 9,364,4,0,2,0
01, 9,4,44,1,0,0
01, 9,1,0,4,0,0
01, 9,2,0,1,0,0
01, 9,1,0,0,0,29
01, 10,362,4,0,2,2
01, 10,5,44,0,0,0
01, 10,1,0,4,0,0
01, 10,1,0,0,2,0
01, 10,2,0,0,0,28
02, 1,362,2,1,3,3
02, 1,2,47,0,0,0
02, 1,1,0,4,0,0
02, 1,1,0,0,2,0
02, 1,5,0,0,0,24
02, 2,364,2,1,1,3
02, 2,3,45,0,0,0
02, 2,0,1,4,0,0
02, 2,3,0,0,1,0
02, 2,1,0,0,0,28
02, 3,370,1,0,0,0
02, 3,1,47,0,0,0
02, 3,1,1,3,0,0
02, 3,3,0,0,1,0
02, 3,2,0,0,0,27
02, 4,369,0,0,1,1
02, 4,4,43,1,0,0
02, 4,1,0,4,0,0
02, 4,3,0,1,0,0
02, 4,2,0,0,0,27
02, 5,360,4,0,2,5
02, 5,6,42,0,0,0
02, 5,1,0,4,0,0
02, 5,4,0,0,0,0
02, 5,3,0,0,0,26
02, 6,362,4,0,3,2
02, 6,3,44,1,0,0
02, 6,1,0,4,0,0
02, 6,2,0,0,2,0
02, 6,2,0,0,0,27
02, 7,360,4,1,3,2
02, 7,3,45,1,0,0
02, 7,0,0,5,0,0
02, 7,2,0,0,1,0
02, 7,0,0,0,0,30
02, 8,358,6,1,2,3
02, 8,5,44,0,0,0
02, 8,0,0,5,0,0
02, 8,2,0,0,1,0
02, 8,3,0,0,0,27
02, 9,363,4,1,1,1
02, 9,4,44,1,0,0
02, 9,0,1,4,0,0
02, 9,2,0,0,1,0
02, 9,3,0,0,0,27
02, 10,363,5,0,0,2
02, 10,1,48,0,0,0
02, 10,0,0,5,0,0
02, 10,1,1,0,0,1
02, 10,1,1,0,0,28
03, 1,363,5,0,2,1
03, 1,4,44,1,0,0
03, 1,0,0,5,0,0
03, 1,1,0,1,1,0
03, 1,3,0,0,0,26
03, 2,363,2,0,1,5
03, 2,4,43,1,0,0
03, 2,0,1,3,1,0
03, 2,4,0,0,0,0
03, 2,1,0,0,0,28
03, 3,366,2,0,2,1
03, 3,8,40,0,0,0
03, 3,0,2,3,0,0
03, 3,3,0,0,1,0
03, 3,7,0,0,0,22
03, 4,367,3,0,0,1
03, 4,1,47,0,0,0
03, 4,1,1,3,0,0
03, 4,3,0,0,1,0
03, 4,5,0,0,1,23
03, 5,366,3,0,2,0
03, 5,6,41,1,0,0
03, 5,1,2,2,0,0
03, 5,4,0,0,0,0
03, 5,6,0,0,0,23
03, 6,361,5,3,1,1
03, 6,2,46,0,0,0
03, 6,0,0,5,0,0
03, 6,3,0,0,1,0
